Round,Player1,Player2,Winner,Probability
1,Jannik Sinner,Nicolas Jarry,Jannik Sinner,0.9670339211483878
1,Tristan Schoolkate,Taro Daniel,Taro Daniel,0.5249494180172254
1,Marcos Giron,Yannick Hanfmann,Marcos Giron,0.5896424904658999
1,Tomas Martin Etcheverry,Flavio Cobolli,Flavio Cobolli,0.6807418065187052
1,Hubert Hurkacz,Tallon Griekspoor,Hubert Hurkacz,0.5972320823806726
1,Miomir Kecmanovic,Dusan Lajovic,Miomir Kecmanovic,0.688986068094157
1,Matteo Berrettini,Cameron Norrie,Matteo Berrettini,0.5300530410082445
1,Zhizhen Zhang,Holger Rune,Holger Rune,0.8376805572568722
1,Stefanos Tsitsipas,Alex Michelsen,Stefanos Tsitsipas,0.5355096491435088
1,James Mccabe,Martin Landaluce,Martin Landaluce,0.6566912279353471
1,Gabriel Diallo,Luca Nardi,Gabriel Diallo,0.7129279798512609
1,Adrian Mannarino,Karen Khachanov,Karen Khachanov,0.8754561356578352
1,Francisco Cerundolo,Alexander Bublik,Francisco Cerundolo,0.5825190422562434
1,Facundo Diaz Acosta,Zizou Bergs,Zizou Bergs,0.6738397227633313
1,Tristan Boyer,Federico Coria,Tristan Boyer,0.7114139765071854
1,Botic Van De Zandschulp,Alex De Minaur,Alex De Minaur,0.8260709830663864
1,Taylor Fritz,Jenson Brooksby,Taylor Fritz,0.7036959322618264
1,Borna Coric,Cristian Garin,Borna Coric,0.6138405204104426
1,Francisco Comesana,Daniel Altmaier,Francisco Comesana,0.5010647897172409
1,Gael Monfils,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0.5316980686928474
1,Ben Shelton,Brandon Nakashima,Ben Shelton,0.6052386685988672
1,Pablo Carreno Busta,Kamil Majchrzak,Pablo Carreno Busta,0.5524807925661568
1,Roberto Bautista Agut,Denis Shapovalov,Denis Shapovalov,0.701351779758743
1,Matteo Arnaldi,Lorenzo Musetti,Lorenzo Musetti,0.6953619764019101
1,Andrey Rublev,Joao Fonseca,Andrey Rublev,0.5347674619843847
1,Lorenzo Sonego,Stan Wawrinka,Lorenzo Sonego,0.5131719861522078
1,Thiago Seyboth Wild,Fabian Marozsan,Fabian Marozsan,0.5809789369917098
1,Arthur Rinderknech,Frances Tiafoe,Frances Tiafoe,0.7664560539125936
1,Alexei Popyrin,Corentin Moutet,Alexei Popyrin,0.7047606380069018
1,Rinky Hijikata,Mitchell Krueger,Rinky Hijikata,0.6749140335611857
1,Camilo Ugo Carabelli,Learner Tien,Learner Tien,0.7287054238441405
1,Kasidit Samrej,Daniil Medvedev,Daniil Medvedev,0.8437240994692377
1,Novak Djokovic,Nishesh Basavareddy,Novak Djokovic,0.8932018082300858
1,Jaime Faria,Pavel Kotov,Pavel Kotov,0.5451427065565849
1,Gauthier Onclin,Reilly Opelka,Reilly Opelka,0.7166183857707898
1,Sumit Nagal,Tomas Machac,Tomas Machac,0.8822129242090796
1,Jiri Lehecka,Li Tu,Jiri Lehecka,0.8728112043090279
1,Hugo Gaston,Omar Jasika,Hugo Gaston,0.571961799137401
1,David Goffin,Benjamin Bonzi,David Goffin,0.5860482395409469
1,Francesco Passaro,Grigor Dimitrov,Grigor Dimitrov,0.8292754126411517
1,Jack Draper,Mariano Navone,Jack Draper,0.7920137335037638
1,Thanasi Kokkinakis,Roman Safiullin,Thanasi Kokkinakis,0.5078720921536782
1,Damir Dzumhur,Aleksandar Vukic,Aleksandar Vukic,0.7345488318193241
1,Lukas Klein,Sebastian Korda,Sebastian Korda,0.7862219820431909
1,Jordan Thompson,Dominik Koepfer,Jordan Thompson,0.655993461925592
1,Alexandre Muller,Nuno Borges,Nuno Borges,0.5271376280236346
1,Yoshihito Nishioka,Aziz Dougaz,Yoshihito Nishioka,0.6644502886063337
1,Alexander Shevchenko,Carlos Alcaraz,Carlos Alcaraz,0.9224144445187775
1,Casper Ruud,Jaume Munar,Casper Ruud,0.8114341569951568
1,Nikoloz Basilashvili,Jakub Mensik,Jakub Mensik,0.8731287369360987
1,Juncheng Shang,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,0.5743324157599708
1,Jan Lennard Struff,Felix Auger Aliassime,Felix Auger Aliassime,0.7877230035465178
1,Alejandro Tabilo,Roberto Carballes Baena,Roberto Carballes Baena,0.5243537720668127
1,James Duckworth,Dominic Stricker,Dominic Stricker,0.7388074991706746
1,Kei Nishikori,Thiago Monteiro,Kei Nishikori,0.7125783173345351
1,Christopher Oconnell,Tommy Paul,Tommy Paul,0.8626424069663311
1,Ugo Humbert,Matteo Gigante,Ugo Humbert,0.7710305751281119
1,Hady Habib,Bu Yunchaokete,Bu Yunchaokete,0.8239853236490124
1,Adam Walton,Quentin Halys,Quentin Halys,0.7276287617862354
1,Otto Virtanen,Arthur Fils,Arthur Fils,0.8502561818518883
1,Sebastian Baez,Arthur Cazaux,Arthur Cazaux,0.7296813001701878
1,Jacob Fearnley,Nick Kyrgios,Nick Kyrgios,0.8083999295715207
1,Pedro Martinez,Luciano Darderi,Luciano Darderi,0.5336996214349177
1,Lucas Pouille,Alexander Zverev,Alexander Zverev,0.9030828794595328
2,Jannik Sinner,Taro Daniel,Jannik Sinner,0.9741176713336345
2,Marcos Giron,Flavio Cobolli,Flavio Cobolli,0.7113273785638508
2,Hubert Hurkacz,Miomir Kecmanovic,Hubert Hurkacz,0.6216642585452645
2,Matteo Berrettini,Holger Rune,Holger Rune,0.7407310247852232
2,Stefanos Tsitsipas,Martin Landaluce,Stefanos Tsitsipas,0.7381588603238506
2,Gabriel Diallo,Karen Khachanov,Karen Khachanov,0.6590711132049079
2,Francisco Cerundolo,Zizou Bergs,Francisco Cerundolo,0.5662882079478784
2,Tristan Boyer,Alex De Minaur,Alex De Minaur,0.8265268839388136
2,Taylor Fritz,Borna Coric,Taylor Fritz,0.7912668979620916
2,Francisco Comesana,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0.7858873712369023
2,Ben Shelton,Pablo Carreno Busta,Ben Shelton,0.6760785750922197
2,Denis Shapovalov,Lorenzo Musetti,Lorenzo Musetti,0.5076430129235433
2,Andrey Rublev,Lorenzo Sonego,Andrey Rublev,0.7126352787588853
2,Fabian Marozsan,Frances Tiafoe,Frances Tiafoe,0.7654989174298562
2,Alexei Popyrin,Rinky Hijikata,Alexei Popyrin,0.6339000091683198
2,Learner Tien,Daniil Medvedev,Daniil Medvedev,0.8235518932123845
2,Novak Djokovic,Pavel Kotov,Novak Djokovic,0.8913012034379306
2,Reilly Opelka,Tomas Machac,Tomas Machac,0.6439613144387321
2,Jiri Lehecka,Hugo Gaston,Jiri Lehecka,0.6821818545570671
2,David Goffin,Grigor Dimitrov,Grigor Dimitrov,0.7521622206659905
2,Jack Draper,Thanasi Kokkinakis,Jack Draper,0.7361209518726956
2,Aleksandar Vukic,Sebastian Korda,Sebastian Korda,0.7755202114042541
2,Jordan Thompson,Nuno Borges,Jordan Thompson,0.6217023124579095
