p1_name,p2_name,round_num,target,Model_Prob_P1,Model_Prediction,Correct
Jannik Sinner,Nicolas Jarry,1.0,1.0,0.9670339211483878,1,1
Tristan Schoolkate,Taro Daniel,1.0,1.0,0.47505058198277467,0,0
Marcos Giron,Yannick Hanfmann,1.0,1.0,0.5896424904659,1,1
Tomas Martin Etcheverry,Flavio Cobolli,1.0,1.0,0.31925819348129475,0,0
Hubert Hurkacz,Tallon Griekspoor,1.0,1.0,0.5972320823806726,1,1
Miomir Kecmanovic,Dusan Lajovic,1.0,1.0,0.6889860680941571,1,1
Matteo Berrettini,Cameron Norrie,1.0,1.0,0.5300530410082445,1,1
Zhizhen Zhang,Holger Rune,1.0,0.0,0.1623194427431278,0,1
Stefanos Tsitsipas,Alex Michelsen,1.0,0.0,0.5355096491435088,1,0
James Mccabe,Martin Landaluce,1.0,1.0,0.34330877206465293,0,0
Gabriel Diallo,Luca Nardi,1.0,1.0,0.7129279798512609,1,1
Adrian Mannarino,Karen Khachanov,1.0,0.0,0.12454386434216486,0,1
Francisco Cerundolo,Alexander Bublik,1.0,1.0,0.5825190422562434,1,1
Facundo Diaz Acosta,Zizou Bergs,1.0,1.0,0.3261602772366686,0,0
Tristan Boyer,Federico Coria,1.0,1.0,0.736540771080104,1,1
Botic Van De Zandschulp,Alex De Minaur,1.0,0.0,0.17392901693361362,0,1
Taylor Fritz,Jenson Brooksby,1.0,1.0,0.7036959322618264,1,1
Borna Coric,Cristian Garin,1.0,0.0,0.6138405204104426,1,0
Francisco Comesana,Daniel Altmaier,1.0,0.0,0.5010647897172409,1,0
Gael Monfils,Giovanni Mpetshi Perricard,1.0,1.0,0.46830193130715253,0,0
Ben Shelton,Brandon Nakashima,1.0,1.0,0.6052386685988672,1,1
Pablo Carreno Busta,Kamil Majchrzak,1.0,1.0,0.5524807925661568,1,1
Roberto Bautista Agut,Denis Shapovalov,1.0,0.0,0.2986482202412569,0,1
Matteo Arnaldi,Lorenzo Musetti,1.0,0.0,0.30463802359808984,0,1
Andrey Rublev,Joao Fonseca,1.0,0.0,0.5347674619843847,1,0
Lorenzo Sonego,Stan Wawrinka,1.0,1.0,0.5131719861522078,1,1
Thiago Seyboth Wild,Fabian Marozsan,1.0,0.0,0.4190210630082903,0,1
Arthur Rinderknech,Frances Tiafoe,1.0,0.0,0.23354394608740636,0,1
Alexei Popyrin,Corentin Moutet,1.0,0.0,0.7047606380069018,1,0
Rinky Hijikata,Mitchell Krueger,1.0,0.0,0.6749140335611858,1,0
Camilo Ugo Carabelli,Learner Tien,1.0,0.0,0.27129457615585945,0,1
Kasidit Samrej,Daniil Medvedev,1.0,0.0,0.15627590053076246,0,1
Novak Djokovic,Nishesh Basavareddy,1.0,1.0,0.8932018082300858,1,1
Jaime Faria,Pavel Kotov,1.0,1.0,0.45485729344341513,0,0
Gauthier Onclin,Reilly Opelka,1.0,0.0,0.25632903357413755,0,1
Sumit Nagal,Tomas Machac,1.0,0.0,0.11778707579092042,0,1
Jiri Lehecka,Li Tu,1.0,1.0,0.8728112043090279,1,1
Hugo Gaston,Omar Jasika,1.0,1.0,0.5719617991374011,1,1
David Goffin,Benjamin Bonzi,1.0,0.0,0.5860482395409469,1,0
Francesco Passaro,Grigor Dimitrov,1.0,1.0,0.17072458735884827,0,0
Jack Draper,Mariano Navone,1.0,1.0,0.7920137335037638,1,1
Thanasi Kokkinakis,Roman Safiullin,1.0,1.0,0.5078720921536782,1,1
Damir Dzumhur,Aleksandar Vukic,1.0,0.0,0.26545116818067593,0,1
Lukas Klein,Sebastian Korda,1.0,0.0,0.2137780179568091,0,1
Jordan Thompson,Dominik Koepfer,1.0,1.0,0.6559934619255919,1,1
Alexandre Muller,Nuno Borges,1.0,0.0,0.4728623719763655,0,1
Yoshihito Nishioka,Aziz Dougaz,1.0,1.0,0.6644502886063336,1,1
Alexander Shevchenko,Carlos Alcaraz,1.0,0.0,0.07758555548122255,0,1
Casper Ruud,Jaume Munar,1.0,1.0,0.8114341569951568,1,1
Nikoloz Basilashvili,Jakub Mensik,1.0,0.0,0.12687126306390129,0,1
Juncheng Shang,Alejandro Davidovich Fokina,1.0,0.0,0.42566758424002926,0,1
Jan Lennard Struff,Felix Auger Aliassime,1.0,0.0,0.21227699645348214,0,1
Alejandro Tabilo,Roberto Carballes Baena,1.0,0.0,0.4756462279331872,0,1
James Duckworth,Dominic Stricker,1.0,1.0,0.2611925008293254,0,0
Kei Nishikori,Thiago Monteiro,1.0,1.0,0.7125783173345351,1,1
Christopher Oconnell,Tommy Paul,1.0,0.0,0.13735759303366898,0,1
Ugo Humbert,Matteo Gigante,1.0,1.0,0.7710305751281121,1,1
Hady Habib,Bu Yunchaokete,1.0,1.0,0.17601467635098753,0,0
Adam Walton,Quentin Halys,1.0,0.0,0.27237123821376463,0,1
Otto Virtanen,Arthur Fils,1.0,0.0,0.1497438181481117,0,1
Sebastian Baez,Arthur Cazaux,1.0,0.0,0.27031869982981227,0,1
Jacob Fearnley,Nick Kyrgios,1.0,1.0,0.19160007042847935,0,0
Pedro Martinez,Luciano Darderi,1.0,1.0,0.4663003785650823,0,0
Lucas Pouille,Alexander Zverev,1.0,0.0,0.09691712054046728,0,1
Jannik Sinner,Tristan Schoolkate,2.0,1.0,0.9802273290463606,1,1
Marcos Giron,Tomas Martin Etcheverry,2.0,1.0,0.41643798582205716,0,0
Hubert Hurkacz,Miomir Kecmanovic,2.0,0.0,0.6216642585452646,1,0
Matteo Berrettini,Holger Rune,2.0,0.0,0.25926897521477676,0,1
Alex Michelsen,James Mccabe,2.0,1.0,0.7599285758404886,1,1
Gabriel Diallo,Karen Khachanov,2.0,0.0,0.3409288867950921,0,1
Francisco Cerundolo,Facundo Diaz Acosta,2.0,1.0,0.6808571535750377,1,1
Tristan Boyer,Alex De Minaur,2.0,0.0,0.169675198581742,0,1
Taylor Fritz,Cristian Garin,2.0,1.0,0.8979984906627744,1,1
Daniel Altmaier,Gael Monfils,2.0,0.0,0.30906227033768985,0,1
Ben Shelton,Pablo Carreno Busta,2.0,1.0,0.6760785750922197,1,1
Denis Shapovalov,Lorenzo Musetti,2.0,0.0,0.4923569870764567,0,1
Joao Fonseca,Lorenzo Sonego,2.0,0.0,0.704091587868307,1,0
Fabian Marozsan,Frances Tiafoe,2.0,1.0,0.23450108257014377,0,0
Corentin Moutet,Mitchell Krueger,2.0,1.0,0.5570905762386414,1,1
Learner Tien,Daniil Medvedev,2.0,1.0,0.17644810678761547,0,0
Novak Djokovic,Jaime Faria,2.0,1.0,0.8989489880060898,1,1
Reilly Opelka,Tomas Machac,2.0,0.0,0.35603868556126794,0,1
Jiri Lehecka,Hugo Gaston,2.0,1.0,0.6821818545570673,1,1
Benjamin Bonzi,Francesco Passaro,2.0,1.0,0.5757591752748611,1,1
Jack Draper,Thanasi Kokkinakis,2.0,1.0,0.7361209518726956,1,1
Aleksandar Vukic,Sebastian Korda,2.0,1.0,0.2244797885957459,0,0
Jordan Thompson,Nuno Borges,2.0,0.0,0.6217023124579096,1,0
Yoshihito Nishioka,Carlos Alcaraz,2.0,0.0,0.06635717320328223,0,1
Casper Ruud,Jakub Mensik,2.0,0.0,0.38732394423314026,0,1
Alejandro Davidovich Fokina,Felix Auger Aliassime,2.0,1.0,0.2437478249237631,0,0
Roberto Carballes Baena,James Duckworth,2.0,1.0,0.6481213919946015,1,1
Kei Nishikori,Tommy Paul,2.0,0.0,0.255646770900885,0,1
Ugo Humbert,Hady Habib,2.0,1.0,0.7469048537377451,1,1
Quentin Halys,Arthur Fils,2.0,0.0,0.19457798593948905,0,1
Arthur Cazaux,Jacob Fearnley,2.0,0.0,0.7157070891393971,1,0
Pedro Martinez,Alexander Zverev,2.0,0.0,0.0688864129983682,0,1
Jannik Sinner,Marcos Giron,3.0,1.0,0.9575742288687961,1,1
Miomir Kecmanovic,Holger Rune,3.0,0.0,0.1927413811947519,0,1
Alex Michelsen,Karen Khachanov,3.0,1.0,0.43546766492330075,0,0
Francisco Cerundolo,Alex De Minaur,3.0,0.0,0.24006178779995244,0,1
Taylor Fritz,Gael Monfils,3.0,0.0,0.8149614076576196,1,0
Ben Shelton,Lorenzo Musetti,3.0,1.0,0.5011601898239904,1,1
Lorenzo Sonego,Fabian Marozsan,3.0,1.0,0.39201260768433577,0,0
Corentin Moutet,Learner Tien,3.0,0.0,0.3773588616789305,0,1
Novak Djokovic,Tomas Machac,3.0,1.0,0.6962772684535324,1,1
Jiri Lehecka,Benjamin Bonzi,3.0,1.0,0.7323017480943257,1,1
Jack Draper,Aleksandar Vukic,3.0,1.0,0.7885021719902638,1,1
Nuno Borges,Carlos Alcaraz,3.0,0.0,0.06807829417476986,0,1
Jakub Mensik,Alejandro Davidovich Fokina,3.0,0.0,0.655189166304499,1,0
Roberto Carballes Baena,Tommy Paul,3.0,0.0,0.17981625606946033,0,1
Ugo Humbert,Arthur Fils,3.0,1.0,0.4426508120897958,0,0
Jacob Fearnley,Alexander Zverev,3.0,0.0,0.0777649894023165,0,1
Jannik Sinner,Holger Rune,4.0,1.0,0.9075906056812547,1,1
