player_name,elo,hard_elo,clay_elo,grass_elo,rank,rank_points,age,ht,is_left,matches_played,win_last_5,win_last_25,win_last_50,win_last_100,elo_grad_20,elo_grad_35,elo_grad_50,elo_grad_100,ace_avg_last_5,ace_avg_last_20,ace_avg_last_50,df_avg_last_5,df_avg_last_20,df_avg_last_50,1st_win_pct_avg_last_5,1st_win_pct_avg_last_20,1st_win_pct_avg_last_50,bp_save_pct_avg_last_5,bp_save_pct_avg_last_20,bp_save_pct_avg_last_50
Syed Mohd Agil Syed Naguib,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,31.0,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chu Huan Yi,1381.7322869970383,1381.7322869970383,1381.7322869970383,1381.7322869970383,514.0,54.0,37.4,178.0,1,1,0.0,0.0,0.0,0.0,-18.267713002961727,-18.267713002961727,-18.267713002961727,-18.267713002961727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Ondruska,1795.5643183625523,1782.9385957737063,1839.5808627038646,1839.5808627038646,182.0,207.0,52.5,183.0,0,59,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111,-44.01654434131228,-44.01654434131228,-44.01654434131228,-44.01654434131228,2.6,3.111111111111111,3.111111111111111,5.0,4.888888888888889,4.888888888888889,0.5237828442072925,0.5702852810574841,0.5702852810574841,0.4557971014492754,0.45427881297446515,0.45427881297446515
Nathan Anthony Barki,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,20.8,178.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergei Cuptov,1387.9980831082623,1400.0,1389.0767497608197,1387.9980831082623,2000.0,0.0,43.3,185.67156964873536,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-12.001916891737665,-12.001916891737665,-12.001916891737665,-12.001916891737665,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Monteiro,1628.800149864275,1398.572567476024,1685.0885264374506,1376.6316262966072,100.0,609.0,31.4,183.0,1,220,0.2,0.52,0.42,0.4,-29.22262435969401,45.75967715553156,35.18478462749226,-5.335952615330598,8.8,5.7,6.04,2.6,2.2,2.28,0.7205221439119744,0.740326945927693,0.7042714821530573,0.7814285714285715,0.6450793650793651,0.5453730158730159
Juan Antonio Marin,1643.206054603254,1861.2561810247637,1775.364768835492,1946.4705879957228,259.0,148.0,50.1,175.0,0,238,0.2,0.28,0.32,0.3409090909090909,-115.90502615330524,-164.00031236907876,-164.89610972974424,-303.2645333924688,3.4,2.75,2.34,2.0,1.05,1.2,0.6452688297175182,0.651282692031622,0.6345729250541026,0.3940476190476191,0.41687229437229434,0.4530685502237226
Young Jun Kim,1468.6514255184577,1398.7570169607905,1468.6514255184577,1427.2489465854214,474.0,71.0,45.5,186.27336318231923,0,8,0.4,0.625,0.625,0.625,68.6514255184577,68.6514255184577,68.6514255184577,68.6514255184577,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Susanto,1349.0329168248704,1376.1707786484994,1400.0,1349.0329168248704,2000.0,0.0,27.6,185.67156964873536,0,2,0.0,0.0,0.0,0.0,-50.967083175129574,-50.967083175129574,-50.967083175129574,-50.967083175129574,2.0,2.0,2.0,3.5,3.5,3.5,0.6004901960784315,0.6004901960784315,0.6004901960784315,0.26666666666666666,0.26666666666666666,0.26666666666666666
Alex Llompart,1396.8934473150098,1396.8934473150098,1396.8934473150098,1396.8934473150098,1418.0,3.0,35.1,186.27336318231923,0,10,0.4,0.5,0.5,0.5,-3.10655268499022,-3.10655268499022,-3.10655268499022,-3.10655268499022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
