Dataset,Tipo Coerenza,% Coerenza,Righe Totali,Righe Perse,% Righe Perse,N. Col. Perse,Colonne Aggiunte,Shift Media Target,Shift Media ATP_RANK_DIFF,Esempi Col. Perse,Esempi Col. Aggiunte
CLEANED_BASE,Riferimento,0,68846,0,0.0,0,0,0.0,0.0,Nessuna,Nessuna
coerenza_elorank_10pct,elorank,10,68846,0,0.0,85,0,0.0,-0.8667,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_elorank_20pct,elorank,20,68846,0,0.0,85,0,0.0,-0.1407,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_elorank_40pct,elorank,40,68846,0,0.0,85,0,0.0,1.5796,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_elorank_60pct,elorank,60,68846,0,0.0,85,0,0.0,0.8118,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_elorank_80pct,elorank,80,68846,0,0.0,85,0,0.0,1.4469,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_targetflip_10pct,targetflip,10,68846,0,0.0,85,0,0.0003,0.0,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_targetflip_20pct,targetflip,20,68846,0,0.0,85,0,-0.0001,0.0,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_targetflip_40pct,targetflip,40,68846,0,0.0,85,0,-0.0028,0.0,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
coerenza_targetflip_60pct,targetflip,60,68846,0,0.0,85,0,-0.0014,0.0,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessuna
001,0.0,"p1_surface_elo, p2_ace_avg_last_5, p2_2ndWon",Nessunacoerenza_targetflip_80pct,targetflip,80,68846,0,0.0,85,0,0.0
